asin,asin_description,amazon_url,division,taxonomy,product,start_date,onhand_units,start_date_pred,forecast_mean,forecast_p70,forecast_p80,forecast_p90,po_request_date,po_quantity,lead_time_days
ASIN_318329,MLB TRAVELER ELITE CS BLK BAG,https://www.amazon.com/dp/B07H5Q6G28,Baseball,Bags,Backpack,2026-08-31,19,2027-04-12,3,5,6,9,,,
ASIN_FE9A5C,A M PRL/BLK PRO GOLF GLV RH,https://www.amazon.com/dp/B07X575C5K,Baseball,Gloves,Sport Glove,2026-08-31,15,2026-10-12,1,2,2,3,2026-09-05,4,14.23672706529135
ASIN_07C065,Y XS KNKR WHT BSBL PANT BULK,https://www.amazon.com/dp/B00CI4OZBG,Baseball,Apparel,Pant,2026-08-31,2743,2027-07-12,227,333,407,604,2026-09-04,293,14.075272860118583
ASIN_DFA08D,MLB Y M WHT/WHT CLSC XT BTG PR,https://www.amazon.com/dp/B07X43VWZ6,Baseball,Gloves,Batting Glove,2026-08-31,220,2027-05-10,11,16,21,30,,,
ASIN_2A2540,MLB 12.5OZ CONTACT BALL 3 PK,https://www.amazon.com/dp/B01L3OQYGU,Baseball,Balls,Ball,2026-08-31,23,2027-04-05,4,5,6,9,2026-09-10,1,13.90854682550095
ASIN_478050,MLB DELUXE GLOVE LACING KIT,https://www.amazon.com/dp/B0010FUG5I,Baseball,General Accessories,Accessory,2026-08-31,317,2026-12-07,31,36,44,59,2026-09-04,6,12.627999889120758
ASIN_BC9E33,MLB A M CFX ORG CHROME BTG PR,,Baseball,Gloves,Batting Glove,2026-08-31,83,2027-04-26,9,11,13,16,2026-09-09,9,11.374757283675187
ASIN_F30A74,MLB A M BLK/GLD 2ND SKNZ BTG,https://www.amazon.com/dp/B07XT73ZV1,Baseball,Gloves,Batting Glove,2026-08-31,72,2026-12-14,7,10,12,15,2026-09-09,4,15.359562533055966
ASIN_98A1B4,MLB A M NVY CHROME PWRSTP BTG,https://www.amazon.com/dp/B07GJQBPXJ,Baseball,Gloves,Batting Glove,2026-08-31,19,2027-03-15,3,4,5,6,,,
ASIN_4081B1,MLB A M GRY/NVY CFX PRO BTG,https://www.amazon.com/dp/B005P4TIDG,Baseball,Gloves,Batting Glove,2026-08-31,44,2026-12-07,6,9,10,12,2026-09-10,4,13.591292259425959
ASIN_EDCDA7,MLB Y CFX PRT SLIDER YLW/RED,,Baseball,Protective Gear,Slider,2026-08-31,30,2026-10-19,1,1,2,3,,,
ASIN_6C7463,MLB A XL WHT/BLK SHOKSORB BTG,https://www.amazon.com/dp/B00NCWCA4C,Baseball,Gloves,Batting Glove,2026-08-31,40,2027-07-19,13,18,19,27,2026-09-05,10,14.073438002386002
ASIN_39A543,A PRT ELBOW GUARD NVY HILTE,,Baseball,Protective Gear,Elbow Protective,2026-08-31,12,2026-10-26,1,1,3,4,,,
ASIN_2464BA,JUNIOR EQUIPMENT BAG NAVY,https://www.amazon.com/dp/B0069JD78I,Baseball,Bags,Equipment Bag,2026-08-31,344,2027-03-29,33,35,55,69,,,
ASIN_111DAB,MLB A L RED/RED NAT HI-LTE BTG,,Baseball,Gloves,Batting Glove,2026-08-31,20,2026-11-16,1,1,2,4,,,
ASIN_2A2540,MLB 12.5OZ CONTACT BALL 3 PK,https://www.amazon.com/dp/B01L3OQYGU,Baseball,Balls,Ball,2026-08-31,19,2026-09-21,3,4,6,8,2026-09-10,1,13.388415854543934
ASIN_600C43,MLB Y L C.BLU CFX HI-LT BTG,https://www.amazon.com/dp/B07XTGDGFY,Baseball,Gloves,Batting Glove,2026-08-31,44,2027-07-19,17,21,33,38,,,
ASIN_9C6DBE,MLB A XL WHT GLD PS INF BTG PR,,Baseball,Gloves,Batting Glove,2026-08-31,23,2027-02-22,4,5,4,6,2026-09-09,4,15.018763526606007
ASIN_259B7C,MLB A S CFX BURG HI-LT BTG,,Baseball,Gloves,Batting Glove,2026-08-31,54,2026-12-28,1,2,3,3,,,
ASIN_ACA76E,MLB Y L BLK/BLK 2ND SKINZ BTG,https://www.amazon.com/dp/B075NZDKSM,Baseball,Gloves,Batting Glove,2026-08-31,126,2026-12-21,5,6,8,10,,,
ASIN_DA79DF,MLB Y L BLK/GOLD SHKSORB X BTG,https://www.amazon.com/dp/B07XNSLWMX,Baseball,Gloves,Batting Glove,2026-08-31,113,2026-11-23,10,15,16,23,2026-09-09,8,11.858819015882254
ASIN_FF3AB7,MLB Y S CFX PNK/GRNAPL HI-LITE,,Baseball,Gloves,Batting Glove,,,2026-10-12,6,8,8,14,2026-09-03,3,14.144913224537952
